BT18ECE001,MAL101,BB,BEL102,BB,BEL101,CC,CSL101,BC,ECL101,BB,HUL101,BC
BT18ECE002,MAL101,AB,BEL102,AA,BEL101,BC,CSL101,AB,ECL101,AB,HUL101,AA
BT18ECE003,MAL101,BB,BEL102,BB,BEL101,CC,CSL101,CC,ECL101,CC,HUL101,BC
BT18ECE004,MAL101,FF,BEL102,CD,BEL101,DD,CSL101,FF,ECL101,FF,HUL101,DD
BT18ECE005,MAL101,FF,BEL102,DD,BEL101,FF,CSL101,FF,ECL101,FF,HUL101,DD
BT18ECE006,MAL101,AB,BEL102,AB,BEL101,AA,CSL101,BB,ECL101,AA,HUL101,BC
BT18ECE007,MAL101,CC,BEL102,CC,BEL101,BC,CSL101,DD,ECL101,FF,HUL101,CC
BT18ECE008,MAL101,DD,BEL102,BC,BEL101,BC,CSL101,BC,ECL101,CC,HUL101,BC
BT18ECE009,MAL101,BB,BEL102,BB,BEL101,BC,CSL101,BB,ECL101,BB,HUL101,BB
BT18ECE010,MAL101,DD,BEL102,BC,BEL101,CC,CSL101,BC,ECL101,CC,HUL101,BC
BT18ECE011,MAL101,DD,BEL102,BC,BEL101,BC,CSL101,BC,ECL101,CC,HUL101,BB
BT18ECE012,MAL101,CD,BEL102,BC,BEL101,CD,CSL101,BC,ECL101,FF,HUL101,BC
BT18ECE013,MAL101,BB,BEL102,BB,BEL101,BC,CSL101,AA,ECL101,AB,HUL101,BB
BT18ECE014,MAL101,AB,BEL102,BB,BEL101,CD,CSL101,CC,ECL101,BC,HUL101,BB
BT18ECE015,MAL101,CC,BEL102,BC,BEL101,CC,CSL101,CD,ECL101,DD*,HUL101,BC
BT18ECE016,MAL101,DD*,BEL102,BB,BEL101,CD,CSL101,DD,ECL101,CD,HUL101,BB
BT18ECE017,MAL101,FF,BEL102,CD,BEL101,DD,CSL101,FF,ECL101,FF,HUL101,CD
BT18ECE018,MAL101,AB,BEL102,BB,BEL101,BB,CSL101,BB,ECL101,BB,HUL101,AB
BT18ECE019,MAL101,FF,BEL102,CD,BEL101,CC,CSL101,FF,ECL101,FF,HUL101,DD
BT18ECE020,MAL101,CD,BEL102,AB,BEL101,AA,CSL101,AB,ECL101,BC,HUL101,AA
BT18ECE021,MAL101,Abs,BEL102,W,BEL101,W,CSL101,FF,ECL101,FF,HUL101,W
BT18ECE022,MAL101,BB,BEL102,BB,BEL101,AB,CSL101,AA,ECL101,BB,HUL101,AA
BT18ECE023,MAL101,Abs,BEL102,W,BEL101,W,CSL101,FF,ECL101,FF,HUL101,W
BT18ECE024,MAL101,AB,BEL102,AA,BEL101,AA,CSL101,AA,ECL101,AB,HUL101,BB
BT18ECE025,MAL101,AB,BEL102,AA,BEL101,AB,CSL101,AA,ECL101,AA,HUL101,AB
BT18ECE026,MAL101,CD,BEL102,BB,BEL101,BB,CSL101,CC,ECL101,BB,HUL101,BB
BT18ECE027,MAL101,DD,BEL102,DD,BEL101,FF,CSL101,FF,ECL101,FF,HUL101,BB
BT18ECE028,MAL101,FF,BEL102,CD,BEL101,CC,CSL101,CC,ECL101,DD,HUL101,CD
BT18ECE029,MAL101,FF,BEL102,BC,BEL101,DD,CSL101,DD,ECL101,FF,HUL101,DD
BT18ECE030,MAL101,AA,BEL102,AB,BEL101,BB,CSL101,AA,ECL101,BC,HUL101,BB
BT18ECE031,MAL101,FF,BEL102,DD,BEL101,DD,CSL101,FF,ECL101,FF,HUL101,DD
BT18ECE032,MAL101,CD,BEL102,BB,BEL101,CC,CSL101,AB,ECL101,BC,HUL101,BB
BT18ECE033,MAL101,BB,BEL102,AA,BEL101,AB,CSL101,AA,ECL101,AB,HUL101,AB
BT18ECE034,MAL101,AA,BEL102,AB,BEL101,BB,CSL101,AA,ECL101,BB,HUL101,BB
BT18ECE035,MAL101,FF,BEL102,CD,BEL101,DD,CSL101,FF,ECL101,FF,HUL101,BB
BT18ECE036,MAL101,AA,BEL102,AA,BEL101,BB,CSL101,BC,ECL101,AA,HUL101,AA
BT18ECE037,MAL101,CD,BEL102,BC,BEL101,CD,CSL101,BB,ECL101,DD,HUL101,BB
BT18ECE038,MAL101,FF,BEL102,BC,BEL101,DD,CSL101,DD,ECL101,CD,HUL101,BC
BT18ECE039,MAL101,BC,BEL102,BB,BEL101,BC,CSL101,BC,ECL101,CD,HUL101,BC
BT18ECE040,MAL101,DD,BEL102,BC,BEL101,BB,CSL101,AA,ECL101,CC,HUL101,AA
BT18ECE041,MAL101,DD,BEL102,AB,BEL101,AB,CSL101,BC,ECL101,CC,HUL101,BB
BT18ECE042,MAL101,BC,BEL102,AB,BEL101,BC,CSL101,BB,ECL101,BC,HUL101,BC
BT18ECE043,MAL101,DD,BEL102,CC,BEL101,BC,CSL101,DD,ECL101,FF,HUL101,BC
BT18ECE044,MAL101,AA,BEL102,BC,BEL101,BB,CSL101,AA,ECL101,BB,HUL101,BB
